ord,l_time,q_time,FOMh2,PHIRKAh2,rPHIRKAh2,lh2,rlh2,qh2,rqh2,FOMhinf,PHIRKAhinf,rPHIRKAhinf,lhinf,rlhinf,qhinf,rqhinf
2,0.0007145404815673,0.0048873424530029,243.2613316717931,243.2604740837566,0.999996474622454,243.2614598932188,1.0000005270933312,243.2615089335341,1.000000728688525,242.4376971641329,242.43769713294185,0.9999999998713438,242.4376971640996,0.9999999999998624,242.437701068342,1.0000000161039684
3,0.0007905960083007,0.0049061775207519,243.2613316717931,243.26115692007545,0.9999992816296924,243.26156357207307,1.0000009532969272,243.26165370647496,1.0000013238219148,242.4376971641329,242.43769706336485,0.9999999995843548,242.43769716399052,0.9999999999994128,242.4377047594841,1.0000000313290849
4,0.0008697509765625,0.0049827098846435,243.2613316717931,243.26036377160764,0.9999960211506744,243.26233908303183,1.0000041412715774,243.2618489036988,1.0000021262397198,242.4376971641329,242.4376942820793,0.9999999881121884,242.4376971613268,0.9999999999884254,242.4377091719543,1.0000000495295145
5,0.0010802745819091,0.0049798488616943,243.2613316717931,243.2603448793089,0.9999959434881104,243.2640342260049,1.0000111096744937,243.2624764946599,1.0000047061440425,242.4376971641329,242.4376942745461,0.999999988081116,242.43769715164564,0.9999999999484928,242.43773889916585,1.0000001721474563
6,0.0009877681732177,0.0050282478332519,243.2613316717931,243.2602602923108,0.9999955957674204,243.26519997554823,1.0000159018440316,243.26270121462107,1.000005629924076,242.4376971641329,242.43769376289603,0.9999999859706764,242.43769714315977,0.9999999999134904,242.43773274853888,1.000000146777528
7,0.0010747909545898,0.005601167678833,243.2613316717931,243.26027535375988,0.9999956576821069,243.26574172379463,1.0000181288656576,243.26304454091067,1.0000070412716473,242.4376971641329,242.43769390235084,0.9999999865458956,242.43769716413095,0.999999999999992,242.4377770318497,1.0000003294360478
8,0.0011320114135742,0.0054686069488525,243.2613316717931,243.2600917802904,0.999994903047294,243.2659355657823,1.0000189257123504,243.263038461274,1.000007016279444,242.4376971641329,242.43769329582543,0.9999999840441172,242.43769716413124,0.999999999999993,242.43775718548,1.000000247574316
9,0.0013110637664794,0.0058023929595947,243.2613316717931,243.26008443391305,0.9999948728477662,243.26598411411024,1.00001912528508,243.26319943744645,1.0000076780211655,242.4376971641329,242.4376932838329,0.9999999839946508,242.4376971641313,0.9999999999999932,242.43778389059364,1.0000003577267962
10,0.0012819766998291,0.0058259963989257,243.2613316717931,243.2599751836689,0.9999944237412708,243.2661058457049,1.000019625699979,243.2631751131931,1.0000075780288933,242.4376971641329,242.43769276801,0.9999999818669992,242.43769716413172,0.9999999999999952,242.4377697192567,1.0000002992732755
11,0.0013532638549804,0.0058567523956298,243.2613316717931,243.25995870916367,0.9999943560177856,243.2661463478969,1.0000197921966087,243.26324088466845,1.0000078484026302,242.4376971641329,242.43769266709305,0.99999998145074,242.4376971641309,0.9999999999999916,242.4377740379952,1.0000003170870833
12,0.0016341209411621,0.0059938430786132,243.2613316717931,243.25991447712843,0.9999941741884956,243.26621065447765,1.0000200565484494,243.26325344910111,1.000007900052568,242.4376971641329,242.437692366094,0.9999999802091876,242.4376971641313,0.9999999999999932,242.4377750454301,1.0000003212425217
13,0.0016171932220458,0.0059654712677001,243.2613316717931,243.25990443904,0.999994132923867,243.266222669548,1.0000201059400655,243.2632821159536,1.0000080178964206,242.4376971641329,242.4376922894456,0.9999999798930308,242.43769716413092,0.9999999999999918,242.43777226187487,1.0000003097609935
14,0.001657485961914,0.0062754154205322,243.2613316717931,243.2598843885792,0.9999940505003244,243.26625471116816,1.0000202376569314,243.2632871542286,1.0000080386077888,242.4376971641329,242.437692139568,0.99999997927482,242.4376971641312,0.9999999999999928,242.43777435337407,1.0000003183879491
15,0.001680850982666,0.0065362453460693,243.2613316717931,243.25987891617672,0.9999940280043425,243.2662534376032,1.0000202324215537,243.26328998249843,1.000008050234256,242.4376971641329,242.43769209434504,0.9999999790882856,242.43769716413084,0.9999999999999912,242.43777129418652,1.0000003057695006
16,0.0017569065093994,0.0063586235046386,243.2613316717931,243.2598708066416,0.9999939946676216,243.2662704340777,1.0000203022907532,243.26337973967352,1.0000084192085374,242.4376971641329,242.4376920306196,0.9999999788254328,242.43769716413135,0.9999999999999936,242.43779489920755,1.0000004031348084
17,0.0020008087158203,0.0064318180084228,243.2613316717931,243.2598651800984,0.9999939715379974,243.26626557494,1.0000202823157835,243.26333612701768,1.0000082399253956,242.4376971641329,242.43769198489363,0.9999999786368235,242.4376971641316,0.9999999999999944,242.43778135800716,1.0000003472804566
18,0.0020318031311035,0.0063159465789794,243.2613316717931,243.25986090844032,0.999993953978042,243.26627063310443,1.0000203031089134,243.2633597445846,1.0000083370126174,242.4376971641329,242.4376919498162,0.9999999784921372,242.43769716413155,0.9999999999999942,242.43778686540205,1.0000003699972
19,0.0020947456359863,0.0068495273590087,243.2613316717931,243.2598574351557,0.999993939700045,243.2662772590408,1.0000203303468485,243.26337112396376,1.000008383791031,242.4376971641329,242.4376919222072,0.9999999783782564,242.43769716413124,0.999999999999993,242.43778933077527,1.0000003801663
20,0.0020265579223632,0.0065820217132568,243.2613316717931,243.2598549359682,0.9999939294263714,243.2662623590164,1.0000202690957476,243.2633838416816,1.0000084360710944,242.4376971641329,242.43769190163232,0.9999999782933896,242.43769716413095,0.999999999999992,242.43779529625365,1.0000004047725328
