ord,l_time,q_time,FOMh2,PHIRKAh2,rPHIRKAh2,lh2,rlh2,qh2,rqh2,FOMhinf,PHIRKAhinf,rPHIRKAhinf,lhinf,rlhinf,qhinf,rqhinf
2,0.0008013248443603,0.0048944950103759,243.2613316717931,243.2604740837566,0.999996474622454,243.24030003916496,0.9999135430506624,243.2483508692888,0.9999466384467472,242.4376971641329,242.43769713294185,0.9999999998713438,242.43769716413104,0.999999999999992,242.43772363321168,1.0000001091788902
3,0.0008301734924316,0.0049436092376708,243.2613316717931,243.26115692007545,0.9999992816296924,243.22191826055152,0.9998379791355628,243.24223026656463,0.9999214778399133,242.4376971641329,242.43769706336485,0.9999999995843548,242.4376971641316,0.9999999999999944,242.4377400755193,1.000000176999645
4,0.0008985996246337,0.0049822330474853,243.2613316717931,243.26036377160764,0.9999960211506744,243.0271853816189,0.9990374701619652,243.1655054325396,0.9996060769765792,242.4376971641329,242.4376942820793,0.9999999881121884,242.4376971641316,0.9999999999999944,242.43873317774663,1.0000042733189838
5,0.0009112358093261,0.0050966739654541,243.2613316717931,243.2603448793089,0.9999959434881104,242.82754821738112,0.998216800625768,243.0632600053932,0.9991857659207952,242.4376971641329,242.4376942745461,0.999999988081116,242.43769716413087,0.9999999999999916,242.446097894695,1.0000346510904052
6,0.001002550125122,0.005063772201538,243.2613316717931,243.2602602923108,0.9999955957674204,242.7575870298741,0.9979292037971794,242.995616472304,0.9989076965185424,242.4376971641329,242.43769376289603,0.9999999859706764,242.4376971641313,0.9999999999999932,242.45623438801405,1.000076461804818
7,0.0011224746704101,0.0057027339935302,243.2613316717931,243.26027535375988,0.9999956576821069,242.5004687414473,0.9968722405442868,242.83621787342597,0.9982524398948012,242.4376971641329,242.43769390235084,0.9999999865458956,242.43769716413104,0.999999999999992,242.48042117589316,1.0001762267677838
8,0.0011253356933593,0.005638837814331,243.2613316717931,243.2600917802904,0.999994903047294,241.47207427952117,0.9926447110193164,242.43701097094836,0.9966113779975646,242.4376971641329,242.43769329582543,0.9999999840441172,242.43769716413112,0.9999999999999925,242.50714338284217,1.0002864497539845
9,0.0013186931610107,0.0057201385498046,243.2613316717931,243.26008443391305,0.9999948728477662,240.81445774466425,0.989941377405472,242.19505122645185,0.9956167285691756,242.4376971641329,242.4376932838329,0.9999999839946508,242.437697164132,0.999999999999996,242.51946247746596,1.0003372631991203
10,0.0013380050659179,0.0059626102447509,243.2613316717931,243.2599751836689,0.9999944237412708,240.4696199815204,0.98852381646073,242.0647294698383,0.9950810011861267,242.4376971641329,242.43769276801,0.9999999818669992,242.4376971641312,0.9999999999999928,242.5259647710014,1.0003640836713967
11,0.0014698505401611,0.0057275295257568,243.2613316717931,243.25995870916367,0.9999943560177856,240.2836964134917,0.9877595208501168,241.9943440593526,0.9947916604594196,242.4376971641329,242.43769266709305,0.99999998145074,242.43769716413195,0.999999999999996,242.5297476370861,1.0003796871279915
12,0.0015566349029541,0.0061049461364746,243.2613316717931,243.25991447712843,0.9999941741884956,240.1645593193034,0.9872697714379536,241.9476463425495,0.9945996952322204,242.4376971641329,242.437692366094,0.9999999802091876,242.4376971641313,0.9999999999999932,242.53228231255235,1.000390142084031
13,0.0017030239105224,0.0058081150054931,243.2613316717931,243.25990443904,0.999994132923867,240.09135356402595,0.9869688368225984,241.91929957203865,0.994483167174448,242.4376971641329,242.4376922894456,0.9999999798930308,242.437697164131,0.999999999999992,242.53397673902649,1.0003971312053352
14,0.0017225742340087,0.0063226222991943,243.2613316717931,243.2598843885792,0.9999940505003244,240.0369834225196,0.9867453317503672,241.89761146921356,0.9943940116038684,242.4376971641329,242.437692139568,0.99999997927482,242.43769716413067,0.9999999999999908,242.53521849044003,1.0004022531456445
15,0.0018296241760253,0.0065531730651855,243.2613316717931,243.25987891617672,0.9999940280043425,240.0000750471362,0.9865936086009058,241.88326803090172,0.994335048519957,242.4376971641329,242.43769209434504,0.9999999790882856,242.43769716413144,0.9999999999999938,242.5361259160002,1.0004059960683451
16,0.0018866062164306,0.006439208984375,243.2613316717931,243.2598708066416,0.9999939946676216,239.97063218759183,0.986472574734397,241.87148957645957,0.9942866295856312,242.4376971641329,242.4376920306196,0.9999999788254328,242.4376971641311,0.9999999999999925,242.53679136189425,1.0004087408803186
17,0.0019307136535644,0.0067627429962158,243.2613316717931,243.2598651800984,0.9999939715379974,239.949941892901,0.986387520958901,241.86346652205657,0.99425364837013,242.4376971641329,242.43769198489363,0.9999999786368235,242.4376971641312,0.9999999999999928,242.5373069408393,1.0004108675254366
18,0.0019755363464355,0.0069108009338378,243.2613316717931,243.25986090844032,0.999993953978042,239.93485099594488,0.9863254852179454,241.8574351667004,0.9942288546418596,242.4376971641329,242.4376919498162,0.9999999784921372,242.4376971641316,0.9999999999999944,242.53760865214255,1.0004121120154923
19,0.0020728111267089,0.0067420005798339,243.2613316717931,243.2598574351557,0.999993939700045,239.92510875985445,0.9862854367810504,241.85357655387745,0.9942129926353646,242.4376971641329,242.4376919222072,0.9999999783782564,242.4376971641313,0.9999999999999932,242.53786495468975,1.0004131692048248
20,0.0029075145721435,0.0067677497863769,243.2613316717931,243.2598549359682,0.9999939294263714,239.9167447634929,0.9862510540194988,241.85032321262813,0.9941996187825336,242.4376971641329,242.43769190163232,0.9999999782933896,242.4376971641316,0.9999999999999944,242.53800831884772,1.0004137605491563
