ord,l_time,q_time,FOMh2,PHIRKAh2,rPHIRKAh2,lh2,rlh2,qh2,rqh2,FOMhinf,PHIRKAhinf,rPHIRKAhinf,lhinf,rlhinf,qhinf,rqhinf
2,0.0010006427764892,0.0060393810272216,0.3646215110529472,0.2972667624882422,0.8152748904742365,0.3311256998895129,0.9081353947914216,0.3233795330941474,0.8868909904966878,0.468251861316395,0.4689521224265355,1.0014954796082856,0.5051728219166539,1.0788485079300338,0.4200588794866353,0.8970789316367584
3,0.0009722709655761,0.0060186386108398,0.3646215110529472,0.285777870479393,0.783765800471094,0.4639067939682154,1.2722968335810851,0.3720885666829544,1.020478922399405,0.468251861316395,0.3796582798508949,0.8107992967365101,1.0808369848052115,2.308238523103054,0.5822395253314966,1.2434323778119074
4,0.001054048538208,0.0061142444610595,0.3646215110529472,0.1982447215011259,0.5437000162953592,0.3675237377209376,1.007959559652993,0.3503612239059665,0.9608901649664054,0.468251861316395,0.2612455019865129,0.5579166332667087,0.636315252535361,1.358916653841994,0.4311861923551655,0.920842452484808
5,0.0010936260223388,0.0060133934020996,0.3646215110529472,0.1986071317163335,0.5446939516618191,0.4500989404074403,1.234427829306211,0.3418348533716576,0.9375059973409504,0.468251861316395,0.2589823198791774,0.553083375154348,4.154797859338219,8.872998064882962,1.4093905860955525,3.0098985236990554
6,0.0012476444244384,0.0060606002807617,0.3646215110529472,0.1833292912993431,0.5027934056055228,0.2948770797412456,0.8087210183779477,0.3154603224855311,0.8651720014393848,0.468251861316395,0.250286340111831,0.534512216156924,0.6109078993430804,1.30465663847152,0.3833433620315817,0.8186691686689502
7,0.0013303756713867,0.0068607330322265,0.3646215110529472,0.168761404715822,0.4628399576000768,0.3302985741621439,0.9058669446251644,0.3223525167711176,0.8840743263891204,0.468251861316395,0.2343490135909393,0.5004764165424023,2.3454570291463708,5.008964668186463,0.8014042779451651,1.7114812436456304
8,0.0014126300811767,0.0065703392028808,0.3646215110529472,0.1250902880915451,0.3430688653840298,0.2820990360139423,0.7736763396084393,0.3182932624340033,0.8729415374173672,0.468251861316395,0.1711075681101856,0.3654178066247327,0.4154835641490396,0.8873078752554061,0.38924448153204,0.8312716161720279
9,0.0016274452209472,0.0069005489349365,0.3646215110529472,0.1231157692293788,0.3376536092833563,0.2662718408777874,0.7302691498064734,0.3137179108578337,0.860393315665565,0.468251861316395,0.1699079479879347,0.3628558944971901,0.4713996037894101,1.006722327732272,0.3770847543002417,0.8053032682884472
10,0.0017533302307128,0.0076375007629394,0.3646215110529472,0.0883333947635015,0.2422605142203871,0.26497589279746,0.7267149215422523,0.3129458553470044,0.8582758994204296,0.468251861316395,0.1348943706196807,0.2880807995945869,0.3780543058894439,0.8073738454058057,0.3794831224322846,0.8104252300576976
11,0.0019173622131347,0.0075023174285888,0.3646215110529472,0.0815081338854508,0.2235417588229317,0.2583522288113843,0.7085490597231071,0.3127218182696574,0.8576614620640048,0.468251861316395,0.1270427775009816,0.2713129151133039,0.3775541235127832,0.8063056545068853,0.3769135165480642,0.8049375724603601
12,0.0020873546600341,0.0071947574615478,0.3646215110529472,0.0625154069723505,0.1714528766879928,0.2599581384441737,0.7129533792273292,0.3130312782619475,0.8585101777401493,0.468251861316395,0.0996712238511752,0.2128581476878058,0.3780188889447489,0.8072982088784988,0.3722509772587949,0.7949802403610033
13,0.0022525787353515,0.0075855255126953,0.3646215110529472,0.056604180595739,0.1552409248491086,0.2558710919304928,0.7017443682672287,0.3123977022226916,0.8567725511326945,0.468251861316395,0.0916857843083884,0.1958044204045072,0.3774053243648866,0.8059878786255931,0.3761124836844166,0.8032268844101392
14,0.0022864341735839,0.0079388618469238,0.3646215110529472,0.0454835007135495,0.1247416823604376,0.2563110461721456,0.7029509735505601,0.3122851722591258,0.85646392983594,0.468251861316395,0.073700990132147,0.1573960430716744,0.3777303826585137,0.806682074037253,0.370517435989467,0.7912780847209715
15,0.0026872158050537,0.0082848072052001,0.3646215110529472,0.0410207672917832,0.112502323774931,0.2563020469768289,0.7029262926278942,0.3122917526427123,0.8564819769982358,0.468251861316395,0.0672191185183922,0.1435533397121356,0.3777373850692579,0.8066970284054524,8.870760261731185,18.944420715793512
16,0.0028212070465087,0.0083234310150146,0.3646215110529472,0.0348463215178984,0.0955684743263496,0.2563020671698749,0.7029263480087352,0.3122920868112424,0.856482893478805,0.468251861316395,0.0571377426615825,0.1220235249059158,0.3777373147582848,0.8066968782491394,16.377687524268666,34.976235819386005
17,0.0030415058135986,0.0085589885711669,0.3646215110529472,0.0295452817790046,0.0810300020250706,0.2563020711747755,0.7029263589924554,0.3122910275189108,0.8564799882954863,0.468251861316395,0.0483439462869424,0.1032434684851721,0.3777375603740645,0.8066974027868935,5.847460008387732,12.487852139976091
18,0.0031001567840576,0.0087273120880126,0.3646215110529472,0.0247486247788544,0.0678748346672851,0.2563021196284565,0.702926491880065,0.3123032193409853,0.8565134252203659,0.468251861316395,0.0406034935705129,0.0867129357614606,0.3777378009167668,0.8066979164905692,71.17190545561652,151.99492268013876
19,0.0042407512664794,0.0086898803710937,0.3646215110529472,0.0206133290186681,0.0565334967735208,0.2563021555593985,0.7029265904231867,0.3122912902481198,0.8564807088487204,0.468251861316395,0.0334706699466873,0.0714800574472707,0.3777376711145893,0.8066976392846716,12.265831327950892,26.1949440915579
20,0.0036211013793945,0.0082192420959472,0.3646215110529472,0.0167808743993837,0.0460227218929685,0.2563020812499453,0.7029263866243132,0.3122917187285482,0.8564818839862682,0.468251861316395,0.0273024710510399,0.0583072344320952,,,,
