ord,l_time,q_time,FOMh2,PHIRKAh2,rPHIRKAh2,lh2,rlh2,qh2,rqh2,FOMhinf,PHIRKAhinf,rPHIRKAhinf,lhinf,rlhinf,qhinf,rqhinf
2,1.459991216659546,1.71293044090271,0.3646215110529472,0.2972667624882422,0.8152748904742365,0.3291672338606271,0.9027641647089444,0.3239184520782431,0.8883690135089327,0.468251861316395,0.4689521224265355,1.0014954796082856,0.4648460162878169,0.9927264677197368,0.4125957604872426,0.8811406735838987
3,5.026065826416016,8.623769521713257,0.3646215110529472,0.285777870479393,0.783765800471094,0.3633523114208624,0.9965191312261864,0.3357048876913266,0.9206941376604038,0.468251861316395,0.3796582798508949,0.8107992967365101,0.8210333598525961,1.7534011665098936,0.4158610785069588,0.8881140959863988
4,5.239789962768555,6.621701240539551,0.3646215110529472,0.1982447215011259,0.5437000162953592,0.2992133113858533,0.8206134369905678,0.3095913070366201,0.8490758160224504,0.468251861316395,0.2612455019865129,0.5579166332667087,0.580520493800742,1.2397612092106296,0.3730799782529529,0.7967506572298811
5,71.5499815940857,37.36124658584595,0.3646215110529472,0.1986071317163335,0.5446939516618191,0.2582478298651322,0.7082627383101148,0.3072559641962695,0.8426709749213135,0.468251861316395,0.2589823198791774,0.553083375154348,0.3774679025773327,0.8061215208331652,0.3746672160452681,0.800140366750422
6,107.98525857925416,51.8221709728241,0.3646215110529472,0.1833292912993431,0.5027934056055228,0.2203103960037203,0.6042166721527538,0.2932288507901496,0.8042006351829565,0.468251861316395,0.250286340111831,0.534512216156924,0.3693690992153329,0.7888256934567792,0.3710015094207146,0.7923118733104855
7,8568.419678211212,26.447815418243408,0.3646215110529472,0.168761404715822,0.4628399576000768,0.2216414378024583,0.6078671473945854,0.2894142505355927,0.7937388271466146,0.468251861316395,0.2343490135909393,0.5004764165424023,0.3761187778585109,0.8032403262661452,0.36736847616841,0.7845531572167768
8,1302.628522157669,23.38465666770935,0.3646215110529472,0.1250902880915451,0.3430688653840298,0.1880858567031512,0.5158386189558601,0.2757056887180516,0.7561421374231976,0.468251861316395,0.1711075681101856,0.3654178066247327,0.3710190514596274,0.7923493361384247,0.3694362631068946,0.7889691288536463
9,0.0479905605316162,28.560805797576904,0.3646215110529472,0.1231157692293788,0.3376536092833563,0.1951734542176703,0.5352768509297547,0.2769383243477455,0.7595227268627354,0.468251861316395,0.1699079479879347,0.3628558944971901,0.3904359289482504,0.8338160746454248,0.3747761178040529,0.8003729376546329
10,0.0945377349853515,26.53785276412964,0.3646215110529472,0.0883333947635015,0.2422605142203871,0.1886678759531239,0.5174348474622145,0.2750875713572274,0.7544469073227047,0.468251861316395,0.1348943706196807,0.2880807995945869,0.3651509087453663,0.7798173139532615,0.3624327401184518,0.7740123853422508
11,0.0707266330718994,43.59812688827515,0.3646215110529472,0.0815081338854508,0.2235417588229317,0.1708650942186109,0.468609473218379,0.2669816368803556,0.732215814995037,0.468251861316395,0.1270427775009816,0.2713129151133039,0.3839777446784042,0.8200239580445633,0.3674916469438288,0.784816201073287
12,0.0835409164428711,27.748788595199585,0.3646215110529472,0.0625154069723505,0.1714528766879928,0.1697456662702479,0.465539363763974,0.2667988140448485,0.7317144105798691,0.468251861316395,0.0996712238511752,0.2128581476878058,0.3684797976162584,0.786926498445414,0.3608828385292982,0.770702411122829
13,0.0856688022613525,25.4527280330658,0.3646215110529472,0.056604180595739,0.1552409248491086,0.1498973327183965,0.4111039205710212,0.2584782111871213,0.7088945752012621,0.468251861316395,0.0916857843083884,0.1958044204045072,0.3675394036646364,0.7849181904613768,0.3537601564957773,0.7554911912175907
14,0.1067402362823486,30.519203901290894,0.3646215110529472,0.0454835007135495,0.1247416823604376,0.1507349699748306,0.4134011993410398,0.2584696591441014,0.708871120625049,0.468251861316395,0.073700990132147,0.1573960430716744,0.3718433837946851,0.7941097826057176,0.3556494390093508,0.7595259482995212
15,0.0726368427276611,29.487764596939087,0.3646215110529472,0.0410207672917832,0.112502323774931,0.1512326532607067,0.4147661305664054,0.2584053436302748,0.7086947308293925,0.468251861316395,0.0672191185183922,0.1435533397121356,0.3633156537490474,0.775897938190057,0.3540054530639011,0.7560150472625707
16,0.1181862354278564,31.718302726745605,0.3646215110529472,0.0348463215178984,0.0955684743263496,0.1477275961852298,0.4051532663517981,0.2584884133118977,0.7089225552421186,0.468251861316395,0.0571377426615825,0.1220235249059158,0.3718305939725245,0.7940824686253212,0.3561911685364798,0.760682867410544
17,0.0946614742279052,30.89485883712769,0.3646215110529472,0.0295452817790046,0.0810300020250706,0.1493382755069854,0.4095706670616583,0.258993135033914,0.7103067898709499,0.468251861316395,0.0483439462869424,0.1032434684851721,0.3730103686982999,0.7966019988679959,0.3561070467241428,0.7605032166300848
18,0.1205966472625732,32.51505136489868,0.3646215110529472,0.0247486247788544,0.0678748346672851,0.1496768733856635,0.4104992954294699,0.2598307723665736,0.7126040688500223,0.468251861316395,0.0406034935705129,0.0867129357614606,0.37028440635567,0.7907804259756503,0.3586470860485723,0.7659277317986711
19,0.1221070289611816,34.77183389663696,0.3646215110529472,0.0206133290186681,0.0565334967735208,0.1565577648134546,0.4293706215010465,0.2585755935824367,0.70916165323249,0.468251861316395,0.0334706699466873,0.0714800574472707,0.382039228897943,0.8158840582585563,0.3577273105430724,0.7639634566265143
20,0.1158108711242675,35.28467917442322,0.3646215110529472,0.0167808743993837,0.0460227218929685,0.1572429545276037,0.431249802222366,0.2585478378436004,0.7090855311771671,0.468251861316395,0.0273024710510399,0.0583072344320952,0.3808332395664849,0.8133085440298082,0.3565232405184757,0.7613920412749305
