ord,l_time,q_time,rPHIRKAh2,FOMh2,rlh2,PHIRKAh2,rqh2,lh2,rPHIRKAhinf,qh2,rlhinf,FOMhinf,rqhinf,PHIRKAhinf,lhinf,qhinf
1,0.0005538463592529,0.001596450805664,1.0,0.3646215110529472,1.0057638726012281,0.3646215110529472,1.001854993667278,0.3667231429903237,,0.3652978816469038,1.0001666544247747,0.468251861316395,0.9999511595406485,,0.4683298975609924,0.4682289916803961
2,0.0008618831634521,0.0015912055969238,0.8152748904742366,0.3646215110529472,1.0064908562966668,0.2972667624882422,1.0021251718516335,0.3669882168838654,1.0014954796082858,0.365396394424737,1.0001810703545209,0.468251861316395,0.9999469903870102,0.4689521224265355,0.4683366478469286,0.4682270394664449
3,0.0005805492401123,0.0016748905181884,0.783765800471094,0.3646215110529472,1.0076067528420678,0.285777870479393,1.0029409406939056,0.3673950967684283,0.81079929673651,0.3656938412926762,1.000028792761189,0.468251861316395,0.9999489822971854,0.3796582798508949,0.4682653435804143,0.468227972182092
4,0.0005908012390136,0.0015747547149658,0.5437000162953592,0.3646215110529472,1.0071789305245173,0.1982447215011259,1.0028543112515802,0.3672391035485409,0.5579166332667087,0.3656622543345138,1.0000885170108664,0.468251861316395,0.9999997308414574,0.2612455019865129,0.4682933095714914,0.4682517352824065
5,0.0005898475646972,0.0014798641204833,0.5446939516618192,0.3646215110529472,1.0069176467182397,0.1986071317163335,1.0028114784879922,0.3671438338522822,0.5530833751543479,0.3656466365875318,1.0000966986174324,0.468251861316395,1.000002241866747,0.2589823198791774,0.4682971406239945,0.4682529110746721
6,0.0005710124969482,0.0017297267913818,0.5027934056055228,0.3646215110529472,1.0069319139473465,0.1833292912993431,1.0028095770463723,0.3671490359909177,0.5345122161569241,0.3656459432810152,1.0000947224399157,0.468251861316395,0.9999983091949982,0.250286340111831,0.468296215275194,0.4682510695938058
7,0.0006546974182128,0.0015130043029785,0.46283995760007673,0.3646215110529472,1.0069441670270471,0.168761404715822,1.0029313704738505,0.3671535037273532,0.5004764165424023,0.3656903517845786,1.00009177865332,0.468251861316395,1.0000720958998757,0.2343490135909393,0.4682948368416413,0.4682856203557051
8,0.000685691833496,0.0016965866088867,0.34306886538402986,0.3646215110529472,1.0069253252830366,0.1250902880915451,1.0030012164726512,0.3671466336221812,0.3654178066247327,0.3657158191382023,1.0000992236894828,0.468251861316395,1.0001148629970713,0.1711075681101856,0.468298322993682,0.46830564612857
9,0.0008771419525146,0.0016260147094726,0.33765360928335625,0.3646215110529472,1.006877635414117,0.1231157692293788,1.0030610339323955,0.3671292448701138,0.3628558944971901,0.3657376298707616,1.0001269230082215,0.468251861316395,1.0001777932406315,0.1699079479879347,0.4683112932512386,0.4683351133322502
10,0.0006775856018066,0.0016682147979736,0.24226051422038694,0.3646215110529472,1.0068482521955573,0.0883333947635015,1.0030640307386012,0.367118531116563,0.28808079959458693,0.3657387225707686,1.0001542597778004,0.468251861316395,1.0002345567360595,0.1348943706196807,0.4683240937444763,0.4683616929446392
11,0.0006544589996337,0.0018017292022705,0.2235417588229316,0.3646215110529472,1.0068361158773729,0.0815081338854508,1.0027773554151669,0.367114105953888,0.27131291511330385,0.3656341945811564,1.0001785874000928,0.468251861316395,0.9998308616462588,0.1270427775009816,0.4683354851988962,0.4681726619674357
12,0.0007102489471435,0.0017752647399902,0.17145287668799264,0.3646215110529472,1.0068501798802152,0.0625154069723505,1.003279357818297,0.3671192339918558,0.21285814768780587,0.365817235455938,1.0001542285892546,0.468251861316395,0.9998950711495589,0.0996712238511752,0.4683240791403817,0.4682027281868702
13,0.0007357597351074,0.0017421245574951,0.1552409248491086,0.3646215110529472,1.042745765233162,0.056604180595739,1.7118796885773708,0.3802075365633773,0.19580442040450718,0.6241881587899296,1.0216746033792636,0.468251861316395,1.3844063029860985,0.0916857843083884,0.4784010346920299,0.6482508281913897
14,0.0007283687591552,0.0017516613006591,0.12474168236043752,0.3646215110529472,41.58372421615988,0.0454835007135495,155.3179924635722,15.162320358905248,0.15739604307167435,56.63228110577796,32.44357573454929,0.468251861316395,127.33839144296317,0.073700990132147,15.191764725462132,59.62643881020321
15,0.0007925033569335,0.001887559890747,0.11250232377493087,0.3646215110529472,16.34807259192835,0.0410207672917832,152.26792662877497,5.9608589312721865,0.14355333971213546,55.52016149228323,12.478138323333692,0.468251861316395,120.37979915347674,0.0672191185183922,5.842911495664442,56.36806501850928
16,0.0007688999176025,0.0018296241760253,0.09556847432634964,0.3646215110529472,23.71362006555027,0.0348463215178984,63.06564738458696,8.646495980836429,0.12202352490591568,22.995091644900445,18.26129368929377,0.468251861316395,47.645099599409924,0.0571377426615825,8.550884760057146,22.309906570028723
17,0.0008008480072021,0.0019543170928955,0.08103000202507056,0.3646215110529472,7.533442384151935,0.0295452817790046,54.05653934082969,2.746855145539796,0.10324346848517209,19.710177056746407,5.676891549251918,0.468251861316395,41.513810949375,0.0483439462869424,2.658215034428524,19.438919247381783
18,0.000807762145996,0.0020585060119628,0.06787483466728494,0.3646215110529472,40.53801505419744,0.0247486247788544,181.1022187341054,14.78103230414859,0.08671293576146055,66.03376464987088,31.648731383984874,0.468251861316395,157.67969789149453,0.0406034935705129,14.819577378853523,73.83381202949916
19,0.0007767677307128,0.0021207332611083,0.05653349677352089,0.3646215110529472,14.636151790464169,0.0206133290186681,15.659278035301792,5.336655781839344,0.0714800574472706,5.709709619229966,,0.468251861316395,16.991814941367767,0.0334706699466873,,7.956448973439189
20,0.0008416175842285,0.0017752647399902,0.046022721892968424,0.3646215110529472,37.185063521508546,0.0167808743993837,106.26052279669207,13.558474049812272,0.05830723443209504,38.744872387406005,,0.468251861316395,105.73011370489978,0.0273024710510399,,49.50832253951341
