method,ord,l_time,q_time,control,ltime,qtime
FrequencyPHDMD,1,0.0799982547760009,0.497650146484375,jump,0.08,0.49765
PHDMD,1,0.0460212230682373,0.3368129730224609,jump,0.04602,0.33681
FrequencyPHDMD,2,0.7917907238006592,1.0323147773742676,jump,0.79179,1.03231
PHDMD,2,0.7099196910858154,3.561028003692627,jump,0.70992,3.56103
FrequencyPHDMD,3,3.9427669048309326,7.983247518539429,jump,3.94277,7.98325
PHDMD,3,4.229235649108887,4611.160318136215,jump,4.22924,4611.16032
